Date,Open,High,Low,Close,Adj Close,Volume
2018-06-01,417.799988,422.500000,327.299988,346.700012,346.700012,7347475
2018-07-01,347.799988,359.500000,296.600006,308.700012,308.700012,9579780
2018-08-01,310.500000,333.500000,261.600006,282.200012,282.200012,21528184
2018-09-01,284.000000,288.450012,173.149994,180.449997,180.449997,9719499
2018-10-01,171.000000,243.149994,163.000000,222.300003,222.300003,19648151
2018-11-01,215.000000,357.000000,214.000000,305.799988,305.799988,43151620
2018-12-01,316.000000,316.000000,240.100006,277.649994,277.649994,24695042
2019-01-01,280.799988,312.000000,232.600006,237.399994,237.399994,35086485
2019-02-01,239.750000,281.500000,203.899994,222.800003,222.800003,18402333
2019-03-01,233.699997,286.700012,213.949997,269.350006,269.350006,26000884
2019-04-01,269.000000,273.000000,132.199997,153.300003,153.300003,40234785
2019-05-01,153.300003,164.899994,120.250000,146.050003,146.050003,39578727
2019-06-01,146.399994,147.500000,27.000000,67.599998,67.599998,69683983
2019-07-01,70.949997,74.449997,33.450001,33.450001,33.450001,1068541
